0,1,2,3,4,5,
6,7,8,9,10,11,
12,13,14,15,16,17,
18,19,20,21,22,23,
24,25,26,27,28,29,
30,31,32,33,34,35,
36,37,38,39,40,41,
42,43,44,45,46,47,
48,49,50,51,52,53,
54,55,56,57,58,59,
60,61,62,63,64,65,
66,67,68,69,70,71,

0,35,2,3,4,5,
14,26,33,1,24,6,
15,13,7,17,25,29,
16,22,30,12,11,21,
23,18,19,8,32,20,
10,9,28,34,27,31,
43,37,50,70,49,62,
54,56,63,68,60,45,
59,46,71,42,44,52,
64,47,36,67,65,58,
57,38,51,53,69,55,
48,61,40,39,41,66,

0,26,2,3,4,5,
22,16,6,35,30,19,
32,24,9,13,8,18,
23,21,11,25,29,27,
1,12,34,10,17,14,
33,7,31,20,15,28,
39,37,70,68,46,67,
49,53,41,43,55,65,
56,58,62,51,71,36,
59,69,61,60,42,38,
66,50,54,47,44,64,
40,48,63,52,57,45,

0,15,2,3,4,5,
7,28,21,11,13,8,
27,12,25,19,14,24,
34,31,23,29,6,9,
20,35,30,26,17,1,
22,32,18,16,33,10,
64,37,44,71,57,62,
59,63,58,56,53,51,
61,66,39,69,55,46,
42,65,47,52,40,49,
45,68,36,54,38,48,
50,70,43,67,60,41,

0,17,2,3,4,5,
8,29,27,31,19,33,
21,18,16,14,20,34,
13,7,6,24,23,15,
28,32,35,30,9,26,
11,10,1,22,12,25,
52,37,69,63,66,49,
65,62,36,56,57,42,
40,64,68,45,41,58,
48,71,59,46,50,51,
61,60,70,43,47,54,
44,39,55,53,67,38,

0,15,2,3,4,5,
21,18,12,7,26,32,
34,33,22,8,17,30,
35,20,25,6,10,13,
19,1,29,23,31,9,
24,11,14,28,27,16,
38,37,50,48,53,40,
67,56,39,49,64,47,
59,52,55,70,61,42,
60,57,46,71,66,62,
58,41,65,68,51,69,
63,36,54,45,44,43,

