0,1,2,3,4,5,
6,7,8,9,10,11,
12,13,14,15,16,17,
18,19,20,21,22,23,
24,25,26,27,28,29,
30,31,32,33,34,35,
36,37,38,39,40,41,
42,43,44,45,46,47,
48,49,50,51,52,53,
54,55,56,57,58,59,
60,61,62,63,64,65,
66,67,68,69,70,71,

0,12,2,3,4,5,
16,10,34,18,14,9,
29,23,17,8,11,22,
1,15,27,13,25,6,
33,31,7,28,21,19,
26,32,24,35,30,20,
36,37,55,38,47,51,
56,66,48,45,57,67,
58,40,68,42,64,49,
69,50,44,46,65,70,
41,53,52,59,63,62,
61,39,71,43,54,60,

0,28,2,3,4,5,
13,11,21,19,6,24,
27,12,29,10,16,25,
23,1,18,26,35,15,
14,9,22,8,32,33,
20,17,31,30,7,34,
56,37,63,40,46,66,
52,71,36,45,44,51,
39,58,55,61,41,64,
62,54,70,50,57,59,
47,49,53,60,48,68,
42,38,69,65,67,43,

0,30,2,3,4,5,
14,20,6,32,26,16,
35,28,13,24,17,21,
34,29,10,22,18,27,
9,25,33,23,19,8,
31,7,11,1,15,12,
36,37,52,66,62,42,
43,58,51,47,55,71,
68,60,38,45,40,50,
65,59,53,49,56,67,
46,44,48,41,54,69,
39,63,61,70,57,64,

0,25,2,3,4,5,
21,22,6,20,24,18,
32,12,1,11,9,33,
23,26,15,17,13,7,
19,27,34,16,29,10,
28,35,30,31,8,14,
70,37,66,60,40,55,
39,62,69,71,68,58,
61,36,67,56,49,50,
44,48,38,43,42,47,
59,64,65,53,63,51,
54,45,52,57,41,46,

0,1,2,3,4,5,
8,21,25,29,31,13,
15,20,16,14,26,32,
7,35,18,19,27,17,
22,10,23,12,6,30,
11,24,9,34,28,33,
38,37,66,47,49,53,
60,42,61,40,57,45,
64,65,71,48,36,67,
55,56,46,43,50,68,
39,70,62,44,59,54,
41,51,63,69,52,58,

